index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
42,J030454.571+055655.301,1.920000,58427.192639,-8.3564,-8.6430,-8.8687,-9.0112,-9.1155,-9.1406,-9.1119,-9.1320,-9.1657,-9.1521,-9.1067,-9.0589,0.0989,0.0943,0.0917,0.0937,0.0970,0.1066,0.1214,0.1310,0.1385,0.1519,0.1705,0.1907
4,J030454.852+060726.957,1.920000,58427.192639,-11.5589,-11.8759,-12.1076,-12.2577,-12.3642,-12.4379,-12.4891,-12.5250,-12.5488,-12.5629,-12.5715,-12.5750,0.0064,0.0058,0.0055,0.0054,0.0055,0.0057,0.0060,0.0063,0.0066,0.0070,0.0074,0.0079
1,J030454.911+060612.426,1.920000,58427.192639,-11.2191,-11.5469,-11.7854,-11.9368,-12.0462,-12.1228,-12.1770,-12.2149,-12.2398,-12.2545,-12.2643,-12.2731,0.0083,0.0075,0.0071,0.0071,0.0072,0.0074,0.0078,0.0082,0.0086,0.0091,0.0097,0.0102
24,J030455.455+055956.606,1.920000,58427.192639,-8.0917,-8.4480,-8.7070,-8.8804,-9.0174,-9.1142,-9.1802,-9.1945,-9.2420,-9.2668,-9.2545,-9.2199,0.1242,0.1128,0.1059,0.1055,0.1061,0.1092,0.1141,0.1239,0.1290,0.1367,0.1487,0.1646
5,J030455.715+060721.703,1.920000,58427.192639,-9.0974,-9.4234,-9.5951,-9.6949,-9.7448,-9.7684,-9.7666,-9.7424,-9.7488,-9.7537,-9.7413,-9.7081,0.0504,0.0467,0.0475,0.0503,0.0547,0.0601,0.0667,0.0749,0.0811,0.0875,0.0952,0.1051
75,J030456.581+061608.314,1.920000,58427.192639,-9.1905,-9.5258,-9.7626,-9.9301,-10.0451,-10.1373,-10.2171,-10.2755,-10.3079,-10.3318,-10.3639,-10.3927,0.0464,0.0424,0.0407,0.0406,0.0416,0.0430,0.0442,0.0461,0.0487,0.0516,0.0538,0.0561
37,J030456.822+055804.441,1.920000,58427.192639,-11.6660,-11.9952,-12.2228,-12.3784,-12.4842,-12.5575,-12.6077,-12.6445,-12.6735,-12.6956,-12.7152,-12.7275,0.0059,0.0053,0.0050,0.0050,0.0050,0.0052,0.0054,0.0057,0.0059,0.0062,0.0065,0.0069
3,J030457.900+060636.079,1.920000,58427.192639,-7.8736,-8.1578,-8.3572,-8.4709,-8.5724,-8.7060,-8.8475,-8.9685,-9.0741,-9.0265,-8.9222,-8.8507,0.1527,0.1466,0.1465,0.1532,0.1601,0.1584,0.1551,0.1520,0.1509,0.1703,0.2020,0.2308
19,J030458.218+060949.291,1.920000,58427.192639,-9.7211,-10.0471,-10.2506,-10.3746,-10.4376,-10.4785,-10.4944,-10.5067,-10.5211,-10.5142,-10.4745,-10.4131,0.0291,0.0266,0.0264,0.0273,0.0292,0.0315,0.0344,0.0373,0.0402,0.0436,0.0487,0.0550
26,J030500.445+061029.556,1.920000,58427.192639,-10.2594,-10.5865,-10.8156,-10.9682,-11.0761,-11.1450,-11.1987,-11.2309,-11.2495,-11.2655,-11.2834,-11.2860,0.0181,0.0167,0.0160,0.0161,0.0166,0.0174,0.0183,0.0194,0.0207,0.0221,0.0233,0.0249
43,J030500.566+061317.711,1.920000,58427.192639,-8.9205,-9.2374,-9.4473,-9.5975,-9.7027,-9.7667,-9.8327,-9.8810,-9.8906,-9.9152,-9.9561,-9.9955,0.0590,0.0551,0.0542,0.0549,0.0568,0.0602,0.0628,0.0660,0.0712,0.0755,0.0781,0.0807
68,J030500.647+061527.758,1.920000,58427.192639,-8.4113,-8.7742,-9.0263,-9.1905,-9.3225,-9.4110,-9.4645,-9.5084,-9.5690,-9.6164,-9.6385,-9.7053,0.0941,0.0834,0.0795,0.0793,0.0805,0.0832,0.0881,0.0928,0.0958,0.0991,0.1047,0.1053
9,J030502.866+060719.895,1.920000,58427.192639,-14.4024,-14.7452,-14.9678,-15.1224,-15.2287,-15.3017,-15.3530,-15.3890,-15.4141,-15.4324,-15.4453,-15.4551,0.0011,0.0010,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
10,J030502.942+060721.513,1.920000,58427.192639,-14.4024,-14.7452,-14.9678,-15.1224,-15.2287,-15.3017,-15.3530,-15.3890,-15.4141,-15.4324,-15.4453,-15.4551,0.0011,0.0010,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
40,J030502.974+061235.624,1.920000,58427.192639,-8.6377,-8.9908,-9.2463,-9.3930,-9.4772,-9.5418,-9.6044,-9.6268,-9.6386,-9.6400,-9.6301,-9.6696,0.0764,0.0689,0.0651,0.0661,0.0698,0.0739,0.0774,0.0833,0.0898,0.0971,0.1054,0.1089
